大白菜,0.7,1.0,冀
娃娃菜,1.1,1.2,冀
小白菜,1.0,1.5,冀
圆白菜,0.7,1.4,冀
紫甘蓝,1.3,1.5,冀
芹菜,1.0,1.4,鲁
西芹,2.5,3.0,冀
菠菜,2.0,2.8,京冀
莴笋,2.0,2.5,冀津
团生菜,0.8,1.5,冀京
散叶生菜,1.5,2.8,冀辽
罗马生菜,2.5,3.5,冀云
油菜,0.8,1.6,鲁京
香菜,2.0,3.0,冀
茴香,2.0,2.5,冀
韭菜,2.0,2.8,冀粤
苦菊,3.0,3.3,冀辽
油麦菜,4.0,5.0,冀辽云
散菜花,2.0,2.8,冀豫陕
绿菜花,2.4,3.0,冀
绿豆芽,0.95,1.0,
黄豆芽,0.85,0.9,
番茄,1.8,3.2,蒙冀鲁
番茄,3.0,3.6,冀蒙
番茄,3.5,4.0,蒙
黄瓜,0.8,2.0,鲁辽
黄瓜,2.5,3.5,冀
小黄瓜,3.0,4.0,辽鲁
茄子,0.8,2.8,冀京鲁豫
长茄,0.8,2.5,冀辽
线茄,1.0,3.0,冀京
广茄,1.0,1.5,冀京
冬瓜,0.7,0.9,冀豫辽
冬瓜,0.45,0.55,冀豫
毛冬瓜,0.7,1.3,冀豫
架豆,3.0,5.0,冀云津
豆王,2.8,5.0,辽晋
扁豆,2.5,4.5,冀
豇豆,3.5,5.0,鲁云冀
白不老,2.0,5.0,辽鲁
油豆,3.5,6.0,辽冀
毛豆,2.8,3.8,鄂云
玉米,1.1,1.6,冀
花生,3.0,3.8,苏皖
苦瓜,2.0,3.5,冀鲁
丝瓜,3.0,5.5,冀鲁
西葫芦,1.8,3.0,冀蒙晋
佛手瓜,1.5,2.0,鲁
瓠子,1.0,2.0,京
贝贝南瓜,2.0,2.5,蒙
金丝南瓜,2.0,2.2,蒙
板栗南瓜,2.0,2.2,新蒙
南北瓜,1.5,1.7,湘鄂川
尖椒,1.5,2.8,蒙冀辽晋
红尖椒,6.0,8.0,蒙
美人椒,6.0,7.0,鲁云
螺丝椒,3.0,4.0,鲁冀
柿子椒,1.5,2.8,鲁冀辽
线椒,2.5,3.0,鲁冀
杭椒,2.0,3.0,鲁冀辽
小米椒,5.0,7.0,云
彩椒,4.0,5.0,鲁冀
白萝卜,0.5,0.6,冀
心里美,1.2,1.5,冀
卞萝卜,0.7,0.8,蒙
青萝卜,0.7,1.2,蒙
胡萝卜,0.8,1.0,蒙冀
胡萝卜,0.9,1.1,蒙
土豆,1.2,1.5,冀蒙陕
葱头,0.9,1.1,甘
葱头,0.8,1.0,蒙
山药,3.8,4.0,鲁
山药,5.0,5.5,冀
山药,7.5,8.5,豫冀
莲藕,3.0,3.5,津
红薯,1.0,1.2,冀
红薯,1.8,2.2,冀
紫薯,2.2,3.2,冀
茭白,2.5,3.0,云津
荸荠,3.0,3.5,皖
芋头,2.5,3.5,鲁
姜,2.0,4.0,鲁
大蒜,2.2,3.2,豫苏鲁
蒜米,2.5,3.3,鲁
大葱,2.0,2.5,冀鲁
小葱,2.5,4.0,冀
蒜苗,2.8,5.5,鲁豫
蒜黄,3.5,4.0,冀
青蒜,4.0,4.2,冀鲁
平菇,3.0,4.0,冀京
香菇,3.5,7.0,冀
白玉菇,4.0,5.0,冀
口蘑,7.0,8.0,冀
杏鲍菇,3.0,4.0,苏豫津
金针菇,2.3,3.0,辽鲁
油菜,2.0,3.0,
小白菜,2.5,3.0,
油麦菜,5.0,6.0,
奶白菜,2.0,2.5,
散生菜,2.0,2.5,
香葱,3.0,5.0,
茼蒿,6.0,7.0,
蒿子秆,6.0,6.5,
水萝卜,2.5,3.0,
樱桃萝卜,1.5,2.5,
香芹,2.0,2.5,
菠菜,4.0,5.0,
苋菜,5.0,6.0,
菊花菜,1.5,2.0,
黄心菜,1.5,2.0,
青蒜,3.0,3.5,
盖菜,1.5,2.5,
芥兰,2.0,2.5,
菜心,2.0,2.5,
空心菜,3.5,4.0,
鸡毛菜,6.0,7.0,
荆芥,3.0,4.0,
豌豆苗,6.0,6.5,
快菜,1.5,2.0,
苦菊,3.0,3.5,
穿心莲,3.5,4.0,
木耳菜,1.5,2.0,
